Temperature - (Celsius), Year, Statistics, Country, ISO3
19.0, 1956, Feb Average, India, IND
24.2, 1956, Mar Average, India, IND
28.3, 1956, Apr Average, India, IND
30.6, 1956, May Average, India, IND
28.3, 1956, Jun Average, India, IND
26.1, 1956, Jul Average, India, IND
26.0, 1956, Aug Average, India, IND
26.1, 1956, Sep Average, India, IND
24.0, 1956, Oct Average, India, IND
20.2, 1956, Nov Average, India, IND
17.7, 1956, Dec Average, India, IND
17.1, 1957, Jan Average, India, IND
18.3, 1957, Feb Average, India, IND
22.6, 1957, Mar Average, India, IND
27.0, 1957, Apr Average, India, IND
29.5, 1957, May Average, India, IND
29.5, 1957, Jun Average, India, IND
27.1, 1957, Jul Average, India, IND
26.5, 1957, Aug Average, India, IND
26.1, 1957, Sep Average, India, IND
24.7, 1957, Oct Average, India, IND
21.3, 1957, Nov Average, India, IND
18.3, 1957, Dec Average, India, IND
18.4, 1958, Jan Average, India, IND
19.7, 1958, Feb Average, India, IND
24.4, 1958, Mar Average, India, IND
28.8, 1958, Apr Average, India, IND
30.4, 1958, May Average, India, IND
30.6, 1958, Jun Average, India, IND
27.1, 1958, Jul Average, India, IND
26.6, 1958, Aug Average, India, IND
26.1, 1958, Sep Average, India, IND
24.6, 1958, Oct Average, India, IND
21.3, 1958, Nov Average, India, IND
18.3, 1958, Dec Average, India, IND
17.4, 1959, Jan Average, India, IND
19.2, 1959, Feb Average, India, IND
24.3, 1959, Mar Average, India, IND
28.1, 1959, Apr Average, India, IND
30.2, 1959, May Average, India, IND
29.4, 1959, Jun Average, India, IND
26.7, 1959, Jul Average, India, IND
26.2, 1959, Aug Average, India, IND
26.0, 1959, Sep Average, India, IND
24.9, 1959, Oct Average, India, IND
20.7, 1959, Nov Average, India, IND
18.0, 1959, Dec Average, India, IND
16.9, 1960, Jan Average, India, IND
20.8, 1960, Feb Average, India, IND
23.0, 1960, Mar Average, India, IND
27.5, 1960, Apr Average, India, IND
30.1, 1960, May Average, India, IND
29.6, 1960, Jun Average, India, IND
27.0, 1960, Jul Average, India, IND
26.5, 1960, Aug Average, India, IND
26.4, 1960, Sep Average, India, IND
24.5, 1960, Oct Average, India, IND
20.3, 1960, Nov Average, India, IND
18.2, 1960, Dec Average, India, IND
17.7, 1961, Jan Average, India, IND
18.2, 1961, Feb Average, India, IND
24.5, 1961, Mar Average, India, IND
27.8, 1961, Apr Average, India, IND
29.9, 1961, May Average, India, IND
28.8, 1961, Jun Average, India, IND
26.7, 1961, Jul Average, India, IND
26.5, 1961, Aug Average, India, IND
25.9, 1961, Sep Average, India, IND
24.1, 1961, Oct Average, India, IND
20.0, 1961, Nov Average, India, IND
16.4, 1961, Dec Average, India, IND
16.1, 1962, Jan Average, India, IND
